1,듀블 브륏,Duble Brut,스파클링,12.5,6~8℃,90000,1,3,3,1
2,레 트화 망,Les Trois Mains,화이트,12.5,10~12℃,None,1,4,4,1
3,돔 페리뇽 P2,Dom Perignon P2,스파클링,12.5,7~9℃,550000,1,4,4,1
4,잼잘 스위트 쉬라즈,Jam Jar Sweet Shiraz,레드,13.0,14~15℃,36000,4,2,3,2
5,잼잘 스위트 모스카토,Jam Jar Sweet Moscato,화이트,13.0,8~10℃,36000,4,2,2,1
6,제르젠티 그릴로 & 피노 그리지오,Gergenti Grillo & Pinot Grigio,화이트,13.0,8~10℃,50000,1,4,3,1
7,제르젠티 네로다볼라 & 산지오베제,Gergenti Nero d'Avola & Sangiovese,레드,13.5,16~18℃,50000,1,3,3,3
8,쓰리 라이온즈 샤도네이,Three Lions Chardonnay,화이트,13.5,10~12℃,42000,1,3,3,1
9,쓰리 라이온즈 소비뇽 블랑,Three Lions Sauvignon Blanc,화이트,12.5,8~10℃,42000,1,4,3,1
10,쓰리 라이온즈 피노 누아,Three Lions Pinot Noir,레드,14.0,15~17℃,50000,1,4,4,2
11,쓰리 라이온즈 쉬라즈,Three Lions Shiraz,레드,14.5,17~19℃,42000,1,3,5,4
12,쓰리 라이온즈 까베르네 메를로,Three Lions Cabernet Merlot,레드,14.5,17~19℃,42000,1,4,5,4
13,VH 피에스포트 골드크룁헨 리슬링 아우스레제,VH Piesporter Goldtropfchen Riesling Auslese,화이트,7.5,6~8℃,120000,4,3,3,1
14,알세뇨 오가닉,Alceno Organic,레드,14.0,17~19℃,55000,1,3,4,4
15,보칸티노  네로 다볼라,Boccantino  Nero d'Avola,레드,13.0,15~17℃,30000,1,3,3,3
16,뱅상 꾸슈  샤르도네 드 몽구,Vincent Couche  Chardonnay de Mongueux,스파클링,12.5,6~8℃,220000,1,4,4,1
17,뱅상 꾸슈  엘레강스 엑스트라 브릇,Vincent Couche  Elegance Extra Brut,스파클링,12.5,6~8℃,140000,1,4,3,1
18,상세르 블랑 N7,Sancerre Blanc N7,화이트,12.5,9~11℃,120000,1,4,4,1
19,레 크리오뜨 메네투-살롱,Les Criotte Menetou-Salon,화이트,12.0,8~10℃,77000,1,3,3,1
20,르 따나 드 필리프 꾸리안,Le Tannat de Philippe Courrian,레드,14.0,17~19℃,110000,1,3,4,4
21,샤또 까스까데,Chateau Cascadais,레드,13.0,17~19℃,50000,1,3,4,3
22,샤또 라 란도뜨,Chateau La Landotte,레드,13.5,17~19℃,70000,1,3,4,3
23,샤또 퐁다흐자크 블랑,Chateau Fondarzac Blanc,화이트,13.0,7~8℃,35000,1,4,3,1
24,산타 이네스 셀렉션 시라,Santa Ines Selection Syrah,레드,14.5,17~19℃,44000,1,3,5,4
25,산타 이네스 셀렉션 까르미네르,Santa Ines Selection Carmenere,레드,14.5,17~19℃,40000,1,3,5,4
26,산타 이네스 셀렉션 까베르네 쇼비뇽,Santa Ines Selection Cabernet Sauvignon,레드,14.5,17~19℃,40000,1,3,4,4
27,산타 이네스 셀렉션 샤도네이,Santa Ines Selection Chardonnay,화이트,14.0,8~10℃,40000,1,3,4,1
28,웬티  베이어 랜치 까베르네 쇼비뇽,Wente  Beyer Ranch Cabernet Sauvignon,레드,13.5,17~19℃,42000,1,3,3,3
29,꼰데 데 카스텔로 로드리고 레드,Conde de Castelo Rodrigo Red,레드,13.5,16~18℃,70000,1,3,4,3
30,페데리코 파테니나 까바 브륏 로제,Federico Parternina Cava Brut Rose,스파클링,11.5,6~8℃,None,1,3,2,1
31,OZV 진판델,OZV Zinfandel,레드,13.9,16~18℃,45000,1,2,4,3
32,OZV 레드 블렌드,OZV Red Bland,레드,13.5,16~18℃,45000,1,3,4,3
33,올드 소울 올드 바인 진판델,Old Soul Old Vine Zinfandel,레드,13.5,16~18℃,60000,1,2,5,4
34,올드 소울 샤도네이,Old Soul Chardonnay,화이트,13.0,10~12℃,60000,1,3,3,1
35,올드 소울 카버네 소비뇽,Old Soul Cabernet Sauvignon,레드,13.0,16~18℃,60000,1,2,3,4
36,마르께스 데 톨레도 베르데호,Marques de Toledo Verdejo,화이트,12.0,8~10℃,16000,1,3,2,1
37,마르께스 데 톨레도 크리안자,Marques de Toledo Crianza,레드,13.0,16~18℃,18000,1,3,3,3
38,마르께스 데 톨레도 리제르바,Marques de Toledo Reserva,레드,13.0,16~18℃,20000,1,3,3,3
39,마르께스 데 톨레도 그랑 리제르바,Marques de Toledo Grand Reserva,레드,13.0,16~18℃,22000,1,3,3,3
40,몬테스  알파 블랙 라벨 소비뇽 블랑,Montes  Alpha Black Label Sauvignon Blanc,화이트,None,10~12℃,67000,1,4,3,1
41,몬테스  알파 블랙 라벨 피노 누아,Montes  Alpha Black Label Pinot Noir,레드,None,14~16℃,74000,1,3,3,3
42,호나타  토도스,Jonata  Todos,레드,None,16~18℃,150000,1,3,4,4
43,벨라 유니언 나파 밸리 카버네 소비뇽,Bella Union Napa Valley Cabernet Sauvignon,레드,14.5,16~18℃,230000,1,3,5,4
44,니켈 & 니켈 존 C 슐렌저 빈야드 카버네 소비뇽 ,Nickel & Nicke John C Sullenger Vineyard Cabernet Sauvignon ,레드,14.2,16~18℃,300000,1,3,5,5
45,다나 에스테이트  허쉬 빈야드 카버네 소비뇽,Dana Estates  Hershey Vineyards Cabernet Sauvignon,레드,15.2,17~19℃,1500000,1,4,5,5
46,다나 에스테이트  로터스 빈야드 카버네 소비뇽,Dana Estates  Lotus Vineyards Cabernet Sauvignon,레드,15.1,17~19℃,1500000,1,3,5,5
47,알타 시마  AC 4090 카베르네 소비뇽,Alta Cima  AC 4090 Cabernet Sauvignon,레드,13.5,16~18℃,None,1,3,3,4
48,알타 시마  AC 4090 샤르도네,Alta Cima  AC 4090 Chardonnay,화이트,14.0,10~12℃,None,1,3,3,1
49,나트나우스  베렌아우스레제 뮈스캇 오트넬,Nittnaus  Beerenauslese Muskat Ottonel,화이트,10.0,6~8℃,59000,5,3,5,1
50,샤또 그라비테,Chateau Crabitey,화이트,13.0,10~12℃,69000,1,3,3,1
51,맥기건  핸드 메이드 랑혼 크릭 쉬라즈,McGuigan  Hand Made Langhorne Creek Shiraz,레드,14.0,16~18℃,152000,1,3,5,5
52,맥기건  숏리스트 클레어 밸리 쉬라즈,McGuigan  The Shortlist Clare Valley Shiraz,레드,15.0,16~18℃,104000,1,4,4,4
53,얼바인  스프링 힐 멜롯,Irvine  Spring Hill Melot,레드,14.4,16~18℃,50000,1,3,4,4
54,칼레스케  요한 게오르그 쉬라즈,Kalleske  Johann Georg Shiraz,레드,14.0,16~18℃,500000,1,4,5,5
55,칼레스케  에두아르드 쉬라즈,Kalleske  Eduard Shiraz,레드,14.0,16~18℃,300000,1,3,5,4
56,칼레스케  그리녹 쉬라즈,Kalleske  Greenock Shiraz,레드,14.0,15~17℃,142000,1,3,5,4
57,칼레스케  모파 쉬라즈,Kalleske  Moppa Shiraz,레드,14.5,15~17℃,100000,1,3,5,4
58,칼레스케  클레리스 GSM,Kalleske  Clarry’s GSM,레드,14.0,15~17℃,82000,1,3,4,4
59,칼레스케  자이트가이스트 쉬라즈,Kalleske  Zeitgeist Shiraz,레드,14.0,15~17℃,94000,1,3,4,4
60,맥기건  빈 9000 세미용,McGuigan  Bin 9000 Semillon,화이트,None,7~8℃,62000,1,3,2,1
61,멀티 베스트 빈티지,Multi Best Vintage,레드,14.0,16~18℃,89800,1,2,4,4
62,멀티 베스트 셀렉션,Multi Best Seletion,레드,14.0,16~18℃,59800,1,2,4,4
63,멀티 베스트 존,Multi Best Zone,레드,14.0,16~18℃,39800,1,2,4,4
64,로랑 베나르  비브라토 엑스트라 브뤼,Laurent Benard  Vibrato Extra Brut,스파클링,None,6~8℃,248000,1,3,3,1
65,제이 윌크스 까베르네 소비뇽,J.Wilkes Cabernet Sauvignon,레드,13.9,16~18℃,120000,1,4,5,4
66,제이 윌크스 산타 마리아 밸리 피노누아,J.Wilkes Santa Maria Valley Pinot Noir,레드,14.3,15~17℃,120000,1,3,4,3
67,제이 윌크스 산타 마리아 밸리 샤도네이,J.Wilkes Santa Maria Valley Chardonnay,화이트,14.2,10~12℃,96000,1,3,3,1
68,라르 데 바로스,Lar De Barros,레드,14.0,16~18℃,49000,1,3,4,3
69,루타스 델 아르떼,Rutas Del ARTE,레드,13.0,16~18℃,40000,1,3,4,3
70,테누다 디 콜로소르보  브루넬로 디 몬탈치노,Tenuta di Collosorbo  Brunello di Montalcino,레드,14.5,16~18℃,160000,1,3,5,4
