도농 레꼴뜨 로제,Dosnon Recolte Rose,샴페인 도농 Champagne Dosnon,프랑스 France,피노 누아 90% 샤르도네 10%,스파클링,12.0,8~10℃,None,1,4,3,1,https://www.wine21.com/13_search/wine_view.html?Idx=163278,
도농 레꼴뜨 누아르 제로 도자쥬,Dosnon Recolte Noire Zero Dosage,샴페인 도농 Champagne Dosnon,프랑스 France,피노 누아 100%,스파클링,12.0,8~10℃,None,1,4,3,1,https://www.wine21.com/13_search/wine_view.html?Idx=163277,
도비 퀴베 플로르,Dauby Cuvee Flore,샴페인 도비 Champagne Dauby,프랑스 France,피노 누아 50% 샤르도네 50%,스파클링,12.0,8~10℃,None,1,4,3,1,https://www.wine21.com/13_search/wine_view.html?Idx=163276,
도비 브뤼 블랑 드 누아,Dauby Brut Blanc de Noir,샴페인 도비 Champagne Dauby,프랑스 France,피노 누아 100%,스파클링,12.0,6~8℃,None,1,4,3,1,https://www.wine21.com/13_search/wine_view.html?Idx=163275,
플뢰리 소나뜨 엑스트라 브뤼,Fleury Sonate Extra Brut,플뢰리 Fleury,프랑스 France,피노 누아 60% 샤르도네 40%,스파클링,None,6~8℃,292000,1,4,3,1,https://www.wine21.com/13_search/wine_view.html?Idx=163274,
오데로 모스까또 다스띠,Oddero Moscato d'Asti,오데로 Oddero,이탈리아 Italy,모스카토 100%,화이트,5.0,6~8℃,80000,4,2,2,1,https://www.wine21.com/13_search/wine_view.html?Idx=163273,
오데로 바르베라 달바 슈페리오레,Oddero Barbera d’Alba Superiore,오데로 Oddero,이탈리아 Italy,바르베라 100%,레드,13.5,16~18℃,100000,1,3,3,3,https://www.wine21.com/13_search/wine_view.html?Idx=163272,
오데로 랑게 네비올로,Oddero Langhe Nebbiolo,오데로 Oddero,이탈리아 Italy,네비올로 100%,레드,14.0,16~18℃,100000,1,3,3,4,https://www.wine21.com/13_search/wine_view.html?Idx=163271,
오데로 바르바레스코 갈리나,Oddero Barbaresco Gallina,오데로 Oddero,이탈리아 Italy,네비올로 100%,레드,13.5,16~18℃,200000,1,4,3,4,https://www.wine21.com/13_search/wine_view.html?Idx=163270,
오데로 바롤로,Oddero Barolo,오데로 Oddero,이탈리아 Italy,네비올로 100%,레드,14.5,16~18℃,220000,1,4,3,4,https://www.wine21.com/13_search/wine_view.html?Idx=163269,
오데로 바롤로 빌레로,Oddero Barolo Villero,오데로 Oddero,이탈리아 Italy,네비올로 100%,레드,14.5,16~18℃,320000,1,3,4,4,https://www.wine21.com/13_search/wine_view.html?Idx=163268,
오데로 바롤로 로께 디 까스띠글리오네,Oddero Barolo Rocche di Castiglione,오데로 Oddero,이탈리아 Italy,네비올로 100%,레드,14.5,16~18℃,400000,1,3,4,4,https://www.wine21.com/13_search/wine_view.html?Idx=163267,
오데로 바롤로 부시아 '비냐 몬도카',Oddero Barolo Bussia 'Vigna Mondoca',오데로 Oddero,이탈리아 Italy,네비올로 100%,레드,14.5,16~18℃,420000,1,4,4,5,https://www.wine21.com/13_search/wine_view.html?Idx=163266,
알패션 그랑 말벡,Alpasion Grand Malbec,알패션 Alpasion,아르헨티나 Argentina,말벡 100%,레드,15.9,16~18℃,75000,1,3,4,4,https://www.wine21.com/13_search/wine_view.html?Idx=163265,
알패션 말벡,Alpasion Malbec,알패션 Alpasion,아르헨티나 Argentina,말벡 100%,레드,15.4,16~18℃,60000,1,3,4,4,https://www.wine21.com/13_search/wine_view.html?Idx=163264,
체할렘 쓰리 빈야드 피노 누아,Chehalem Three Vinyard Pinot Noir,체할렘 Chehalem,미국 U.S.A,피노 누아,레드,12.9,15~17℃,160000,1,4,3,2,https://www.wine21.com/13_search/wine_view.html?Idx=163263,
르 쁘띠 쿠들리스 로제,Le Petit Coudoulis White Rose,도멘 쿠들리스 Domaine Coudoulis,프랑스 France,그르나슈 시라/쉬라즈 쌩쏘,로제,13.0,12~14℃,50000,1,None,3,1,https://www.wine21.com/13_search/wine_view.html?Idx=163262,
르 쁘띠 쿠들리스 화이트,Le Petit Coudoulis White,도멘 쿠들리스 Domaine Coudoulis,프랑스 France,그르나슈 블랑 루산느 마르산느 부블랑 비오니에,화이트,14.5,10~12℃,50000,1,3,3,1,https://www.wine21.com/13_search/wine_view.html?Idx=163261,
